time_s,road_mm,baseline_mm,revised_mm
3.26450000,5.00000000,4.99999916,5.00000030
3.26950000,5.00000000,4.99999932,5.00000032
3.27450000,5.00000000,4.99999954,5.00000033
3.27950000,5.00000000,4.99999979,5.00000033
3.28450000,5.00000000,5.00000004,5.00000032
3.28950000,5.00000000,5.00000026,5.00000030
3.29450000,5.00000000,5.00000042,5.00000028
3.29950000,5.00000000,5.00000052,5.00000025
3.30450000,5.00000000,5.00000055,5.00000022
3.30950000,5.00000000,5.00000052,5.00000018
3.31450000,5.00000000,5.00000043,5.00000015
3.31950000,5.00000000,5.00000030,5.00000011
3.32450000,5.00000000,5.00000015,5.00000008
3.32950000,5.00000000,5.00000000,5.00000005
3.33450000,5.00000000,4.99999986,5.00000002
3.33950000,5.00000000,4.99999976,4.99999999
3.34450000,5.00000000,4.99999969,4.99999996
3.34950000,5.00000000,4.99999967,4.99999994
3.35450000,5.00000000,4.99999968,4.99999993
3.35950000,5.00000000,4.99999973,4.99999991
3.36450000,5.00000000,4.99999981,4.99999990
3.36950000,5.00000000,4.99999990,4.99999990
3.37450000,5.00000000,4.99999999,4.99999990
3.37950000,5.00000000,5.00000007,4.99999990
3.38450000,5.00000000,5.00000014,4.99999990
3.38950000,5.00000000,5.00000018,4.99999991
3.39450000,5.00000000,5.00000020,4.99999991
3.39950000,5.00000000,5.00000019,4.99999992
3.40450000,5.00000000,5.00000017,4.99999993
3.40950000,5.00000000,5.00000012,4.99999994
3.41450000,5.00000000,5.00000007,4.99999995
3.41950000,5.00000000,5.00000001,4.99999996
3.42450000,5.00000000,4.99999996,4.99999998
3.42950000,5.00000000,4.99999992,4.99999999
3.43450000,5.00000000,4.99999989,5.00000000
3.43950000,5.00000000,4.99999988,5.00000000
3.44450000,5.00000000,4.99999988,5.00000001
3.44950000,5.00000000,4.99999990,5.00000002
3.45450000,5.00000000,4.99999992,5.00000002
3.45950000,5.00000000,4.99999995,5.00000003
3.46450000,5.00000000,4.99999999,5.00000003
3.46950000,5.00000000,5.00000002,5.00000003
3.47450000,5.00000000,5.00000004,5.00000003
3.47950000,5.00000000,5.00000006,5.00000003
3.48450000,5.00000000,5.00000007,5.00000003
3.48950000,5.00000000,5.00000007,5.00000003
3.49450000,5.00000000,5.00000006,5.00000003
3.49950000,5.00000000,5.00000005,5.00000002
3.50450000,5.00000000,5.00000003,5.00000002
3.50950000,5.00000000,5.00000001,5.00000002
3.51450000,5.00000000,4.99999999,5.00000001
3.51950000,5.00000000,4.99999998,5.00000001
3.52450000,5.00000000,4.99999996,5.00000001
3.52950000,5.00000000,4.99999996,5.00000000
3.53450000,5.00000000,4.99999996,5.00000000
3.53950000,5.00000000,4.99999996,5.00000000
3.54450000,5.00000000,4.99999997,5.00000000
3.54950000,5.00000000,4.99999998,4.99999999
3.55450000,5.00000000,4.99999999,4.99999999
3.55950000,5.00000000,5.00000000,4.99999999
3.56450000,5.00000000,5.00000001,4.99999999
3.56950000,5.00000000,5.00000002,4.99999999
3.57450000,5.00000000,5.00000003,4.99999999
3.57950000,5.00000000,5.00000003,4.99999999
3.58450000,5.00000000,5.00000002,4.99999999
3.58950000,5.00000000,5.00000002,4.99999999
3.59450000,5.00000000,5.00000001,4.99999999
3.59950000,5.00000000,5.00000001,4.99999999
3.60400000,-5.00000000,3.78650280,4.02444743
3.60900000,-5.00000000,1.52449623,2.71235436
3.61400000,-5.00000000,-1.23999151,1.34052209
3.61900000,-5.00000000,-4.14042393,-0.04814462
3.62400000,-5.00000000,-6.83338372,-1.41501986
3.62900000,-5.00000000,-9.03511015,-2.72630815
3.63400000,-5.00000000,-10.54742476,-3.95340747
3.63900000,-5.00000000,-11.27121942,-5.07309475
3.64400000,-5.00000000,-11.20728415,-6.06754849
3.64900000,-5.00000000,-10.44571210,-6.92422586
3.65400000,-5.00000000,-9.14628525,-7.63561359
3.65900000,-5.00000000,-7.51301485,-8.19887302
3.66400000,-5.00000000,-5.76634050,-8.61540058
3.66900000,-5.00000000,-4.11638853,-8.89032439
3.67400000,-5.00000000,-2.74021284,-9.03195758
3.67900000,-5.00000000,-1.76518195,-9.05122739
3.68400000,-5.00000000,-1.25975105,-8.96109799
3.68900000,-5.00000000,-1.23188955,-8.77600289
3.69400000,-5.00000000,-1.63453744,-8.51130087
3.69900000,-5.00000000,-2.37673233,-8.18276749
3.70400000,-5.00000000,-3.33854801,-7.80613135
3.70900000,-5.00000000,-4.38774874,-7.39666284
3.71400000,-5.00000000,-5.39608890,-6.96882021
3.71900000,-5.00000000,-6.25344585,-6.53595612
3.72400000,-5.00000000,-6.87841007,-6.11008587
3.72900000,-5.00000000,-7.22450348,-5.70171641
3.73400000,-5.00000000,-7.28177998,-5.31973430
3.73900000,-5.00000000,-7.07411243,-4.97134876
3.74400000,-5.00000000,-6.65292722,-4.66208550
3.74900000,-5.00000000,-6.08847122,-4.39582581
